"","Z_score","log_fc","conv","d","p_val"
"Ano3",8.39161748058455,1.4056660719509,TRUE,1.62495017441699e-13,0
"Irs4",13.1257172959446,-1.5559001371544,TRUE,-1.02718231465015e-06,0
"Oprk1",8.82488136996991,-1.254093303089,TRUE,-5.71597630338871e-12,0
"Slc18a2",19.8004088725054,-4.25444424832562,TRUE,-1.56783599991606e-09,0
"Sp9",10.099330303632,1.99803432065855,TRUE,1.05637720793084e-13,0
"Syt2",9.11571984649926,2.65525668767632,TRUE,3.16552339896248e-14,0
"Crhr2",7.88273406061073,1.67924087291815,TRUE,3.56075169349879e-11,3.10862446895044e-15
"Pgr",7.77325654885451,-0.844620635608201,TRUE,-2.36366481942696e-13,7.54951656745106e-15
"Crhr1",7.55795042680311,1.1467817899857,TRUE,3.58826590662886e-09,4.08562073062058e-14
"Oxtr",7.36812130942283,1.66767700493038,TRUE,4.76222949963301e-11,1.72972747236599e-13
"Amigo2",7.10689555502951,-0.784308543974846,TRUE,3.58552532109258e-09,1.18682841332429e-12
"Baiap2",7.08591555270439,0.594276236622852,TRUE,-2.89666735042715e-10,1.38133948723862e-12
"Col25a1",7.08194842999409,1.08820392931209,TRUE,4.09638990228611e-08,1.42130751612513e-12
"Slc17a8",7.0534176856901,-2.06308126604569,TRUE,-7.80300430977543e-07,1.7457146839206e-12
"Npy2r",6.61231776897394,-0.961728248044002,TRUE,6.02957226786272e-08,3.78348463669909e-11
"Egr2",6.51578187291054,-1.16288624570672,TRUE,-1.11951233283669e-08,7.23119342183054e-11
"Calcr",6.33131616274807,-1.60652723348484,TRUE,-2.272411875337e-08,2.43078668304975e-10
"Cpne5",6.18571403195954,0.688155854197011,TRUE,-1.69984626374742e-09,6.18219919701346e-10
"Gem",6.07175502191351,-0.947920039487867,TRUE,-1.7430501486615e-14,1.26519839049877e-09
"Man1a",5.59447426080045,0.91453345343748,TRUE,-2.04350425470068e-13,2.21291294177917e-08
"Glra3",5.26634382976896,0.610893463548974,TRUE,-0.00011687887970746,1.39167528168116e-07
"Isl1",5.19773020512625,-0.997820681724118,TRUE,-4.73965233727114e-09,2.01736633398397e-07
"Gad1",5.07944525302283,0.55302368557836,TRUE,-4.60351607389775e-07,3.78538587364474e-07
"Cyp19a1",4.89014290519084,0.876875003380064,TRUE,3.08775227608749e-11,1.00762798105336e-06
"Ar",4.70984810194196,0.43534065360009,TRUE,-3.86246590267092e-13,2.47901476435608e-06
"Tacr1",4.4173099467435,0.841736900995563,TRUE,4.77824724232079e-11,9.99368757281793e-06
"Gabra1",4.29240411012003,0.43002282607929,TRUE,-3.03257419176362e-13,1.76748889009204e-05
"Ntng1",4.28571385813606,-0.719620995212231,TRUE,3.03707348159321e-09,1.82153321868217e-05
"Cckar",4.23696903206819,0.516484678975236,TRUE,-5.17990406123658e-09,2.26557369342739e-05
"Avpr2",3.91929874955107,-0.556814826255426,TRUE,4.82277177138446e-07,8.8806980008016e-05
"Coch",3.9066034092297,-0.702238785464862,TRUE,-2.86246165770443e-07,9.36025950990516e-05
"Crhbp",3.72776262420216,1.00107214201981,TRUE,2.34359892603564e-09,0.000193187205732359
"Oprd1",3.54291581957274,0.4990878582101,TRUE,-6.90913947443139e-08,0.000395729001242406
"Necab1",3.46484542706749,0.612731383738042,TRUE,1.29328839304499e-13,0.000530536318807062
